,day_index,Consortia,Corp,Discount,Group,Misc,OTA,Promo,Ret,Leisure,day_index_mean,Consortia_mean,Corp_mean,Discount_mean,Group_mean,Misc_mean,OTA_mean,Promo_mean,Ret_mean,Leisure_mean
0,0,0,10,5,0,765,15,0,80,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
1,1,35,125,30,0,515,15,20,55,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
2,2,0,45,15,0,490,30,5,80,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
3,3,10,20,40,0,635,40,20,105,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
4,4,10,20,35,0,755,115,35,110,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
5,5,20,45,10,0,500,50,35,95,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
6,6,60,85,40,0,640,50,25,70,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
7,7,25,60,5,0,560,20,0,145,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
8,8,25,80,10,0,460,40,15,85,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
9,9,5,35,30,0,835,50,5,110,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
10,10,10,40,30,0,505,30,20,175,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
11,11,10,25,10,15,440,110,60,160,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
12,12,5,15,5,0,395,35,5,90,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
13,13,40,230,5,0,520,70,70,80,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
14,14,45,65,0,0,420,35,15,155,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
15,15,5,75,40,0,515,55,30,65,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
16,16,5,40,5,0,505,40,25,100,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
17,17,0,10,35,115,420,85,40,130,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
18,18,5,0,50,180,455,85,65,195,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
19,19,0,25,20,0,530,85,45,100,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
20,20,70,50,15,0,530,65,15,55,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
21,21,60,60,30,0,425,65,5,105,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
22,22,50,55,20,0,580,65,10,85,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
23,23,20,30,5,0,700,25,30,145,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
24,24,0,30,30,0,775,50,75,115,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
25,25,10,10,70,0,600,115,85,210,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
26,26,15,60,45,0,520,20,25,110,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
27,27,15,155,20,0,530,30,0,110,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
28,28,20,105,55,0,585,25,35,85,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
29,29,15,55,35,0,385,35,10,90,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
30,30,30,60,30,0,475,40,10,70,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
31,31,0,20,100,0,610,55,25,135,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
32,32,20,15,20,0,470,65,85,115,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
33,33,5,60,65,0,450,5,10,110,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
